claim_id,organization,claimed_reduction_tco2e,historical_avg_emissions_tco2e,current_emissions_tco2e,historical_avg_energy_mwh,current_energy_mwh
C001,GreenSteel Ltd,1200,10000,9000,5000,4700
C002,SolarFoods Inc,800,6000,5300,3200,2950
C003,BlueCement Co,1500,11000,10350,5400,5350
C004,EcoTextile Works,600,4200,3500,2100,1800
C005,WindAgro Group,900,7000,6500,3900,3700
C006,UrbanMetals PLC,2000,12000,11800,6100,6080
C007,HydroChem Labs,700,5000,4300,2600,2200
C008,NatureMines Corp,2500,15000,14700,7300,7250
C009,SunGrid Power,950,7600,6800,4100,3800
C010,TerraManufacture,1300,9800,9300,4900,4600
C011,CoreFoundry Systems,1100,9200,8300,4700,4300
C012,Verdant Alloy Works,980,8700,7900,4400,4050
C013,AquaForge Industries,760,6400,5750,3300,3060
C014,Pacific BioCrops,540,4100,3600,2200,2000
C015,NorthGrid Chemicals,1450,10900,9800,5600,5220
C016,ClearRiver Ceramics,680,5200,4550,2700,2460
C017,Horizon Cement Tech,1320,10100,9150,5050,4740
C018,MetroAgri Processors,870,6800,6100,3550,3330
C019,EcoRail Materials,990,8300,7520,4180,3890
C020,SunPeak Manufacturing,1250,9600,8700,4860,4540
C021,BlueHarbor Metals,1020,8900,8040,4480,4170
C022,Leafline Textiles,610,4700,4050,2420,2210
C023,TerraNex Energy,1580,11500,10350,5900,5510
C024,AgriNova Inputs,840,6600,5940,3400,3190
C025,GreenOrbit Glass,1180,9400,8480,4750,4430
C026,UrbanEco Components,730,5600,4980,2860,2650
C027,CedarFuel Solutions,1360,10400,9390,5250,4920
C028,NovaMinerals Group,1650,12200,10950,6200,5820
C029,HelioForge Labs,910,7100,6400,3660,3430
C030,BrightStream Foods,790,6200,5580,3180,2960
C099,Fraudulent Carbon Ops,3200,10000,9800,5000,6100
